alarms/day,precision,recall,TP,FP,FN
25,0.002366187989556136,0.09415584415584416,29,12227,279
50,0.0031507171408417588,0.21753246753246752,67,21198,241
100,0.0017640291448293493,0.22402597402597402,69,39046,239
